state,state_name,record_status,current_requested_label,current_detailed_label,baseline_kelsey_2023_detailed_label,baseline_shift_detailed,selected_document_url,document_title_guess,document_year_guess,document_status_note,auto_classification_reason,manual_notes,error,scan_generated_at_utc
AK,Alaska,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://www.ahfc.us/application/files/6517/5088/4408/FY2026_GOAL_Qualified_Allocation_Plan_06-25-25.pdf,STATE OF ALASKA ALASKA HOUSING FINANCE CORPORATION GOAL PROGRAM,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
AL,Alabama,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://ahfa.atl1.cdn.digitaloceanspaces.com/multifamily/allocation-and-application-info/ahfa-2025-qap-9-18-2024-(gov-approved).pdf,2025 HOUSING CREDIT QUALIFIED ALLOCATION PLAN Administered by,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
AR,Arkansas,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://adfa.arkansas.gov/wp-content/uploads/2025/09/2026-QAP-signed-2.pdf,ARKANSAS DEVELOPMENT FINANCE AUTHORITY 2026 QUALIFIED ALLOCATION PLAN,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
AZ,Arizona,error,None,Manual review needed,Direct requirement below Section 504,changed,,,,,Extraction failed.,,HTTPError('403 Client Error: Forbidden for url: https://housing.az.gov/2026-2027-qap-final-version-posted'),2026-04-16T14:38:05.773261+00:00
CA,California,classified,Requires 504,Requires Section 504,Exceeds Section 504,weakened,https://www.treasurer.ca.gov/ctcac/programreg/2025/regulations.pdf,CALIFORNIA TAX CREDIT ALLOCATION COMMITTEE REGULATIONS IMPLEMENTING THE FEDERAL AND STATE LOW INCOME HOUSING TAX CREDIT LAWS CALIFORNIA CODE OF REGULATIONS,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
CO,Colorado,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://www.novoco.com/public-media/documents/colorado-lihtc-final-qap-2025-26-11212024.pdf,housing tax credit amended qualified allocation plan 2025 to 2026,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
CT,Connecticut,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://www.chfa.org/assets/1/19/FINAL_2026_QAP.pdf?14379,Low-Income Housing Tax Credit 2026 Qualified Allocation Plan,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
DC,District of Columbia,classified,Requires 504,Requires Section 504,,no_kelsey_baseline,https://dhcd.dc.gov/sites/default/files/dc/sites/dhcd/publication/attachments/2025%20Qualified%20Allocation%20Plan%20Final%20Published%2012.9.25.pdf,2025 LOW INCOME HOUSING TAX CREDIT Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
DE,Delaware,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://www.novoco.com/public-media/documents/delaware-final-qap-2025-2026-04232025.pdf,State of Delaware Low Income Housing Tax Credit Qualified Allocation Plan,2025-2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
FL,Florida,classified,None,No direct QAP accessibility provision observed,Requires Section 504,weakened,https://www.floridahousing.org/docs/default-source/programs/competitive/2025-rule-development-process/2025-qualified-allocation-plan-(qap-2-7-25-draft.pdf?sfvrsn=80f6f07b_1,2.7.25 draft Florida Housing Finance Corporation 2025 2024 Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,No direct accessibility provision detected in extracted text.,,,2026-04-16T14:38:05.773261+00:00
GA,Georgia,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://dca.georgia.gov/document/document/2026-2027-qap-draft-3pdf/download,STATE OF GEORGIA 2026-2027 QUALIFIED ALLOCATION PLAN,2026-2027,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
HI,Hawaii,manual_review,None,Manual review needed,No direct QAP accessibility provision observed,changed,https://dbedt.hawaii.gov/hhfdc/files/2025/06/2026-QAP.For_.Public.Hearing.Ramseyer.pdf,STATE OF HAWAII LOW-INCOME HOUSING TAX CREDIT PROGRAM 2025 2026 QUALIFIED,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Keyword hit(s) detected but auto-classifier could not confidently place the state.,,,2026-04-16T14:38:05.773261+00:00
IA,Iowa,manual_review,None,Manual review needed,Direct requirement below Section 504,changed,https://opportunityiowa.gov/housing/rental-programs/programs-developers-communities-and-property-owners/housing-tax-credit-program/resources/lihtc-notices,LIHTC Notices | Economic Development & Finance Authority Skip to main content Official State of Iowa Website Agencies A-Z Programs & Services Economic Development & Finance Authority Search Menu Main navigation Business Business sub-navigation Iowa A,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Keyword hit(s) detected but auto-classifier could not confidently place the state.,,,2026-04-16T14:38:05.773261+00:00
ID,Idaho,manual_review,None,Manual review needed,No direct QAP accessibility provision observed,changed,https://www.idahohousing.com/documents/combined-annual-lihtc-application-information.pdf/,Idaho Housing and Finance Association 2026 Combined Annual LIHTC Application Information Areas of Opportunity (Section 6.4.10),2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Keyword hit(s) detected but auto-classifier could not confidently place the state.,,,2026-04-16T14:38:05.773261+00:00
IL,Illinois,classified,Requires 504,Requires Section 504,Exceeds Section 504,weakened,https://www.ihda.org/wp-content/uploads/2025/07/2026-Qualified-Allocation-Plan_7.1.2025.pdf,2026 Low-Income Housing Tax Credit QUALIFIED ALLOCATION PLAN,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
IN,Indiana,classified,Requires 504,Requires Section 504,Direct requirement below Section 504,strengthened,https://www.in.gov/ihcda/files/2025-QAP-Final.pdf,State of Indiana 2025 Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
KS,Kansas,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://kshousingcorp.org/wp-content/uploads/2025/10/2026-QAP-FINAL.pdf,2026 Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
KY,Kentucky,classified,None,No direct QAP accessibility provision observed,Direct requirement below Section 504,weakened,https://www.kyhousing.org/Partners/Developers/Multifamily/Documents/2025-2026%20Qualified%20Allocation%20Plan.pdf,QUALIFIED ALLOCATION PLAN,2025-2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Only general legal-compliance language detected.,,,2026-04-16T14:38:05.773261+00:00
LA,Louisiana,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://www.lhc.la.gov/hubfs/Document%20Libraries/Housing%20Development/Funding%20Opportunities/LIHTC/2025-2026%20Draft%20QAP%20Redlined%20as%20of%2010-03-24.pdf,2025Ͳ2026 QUALIFIED FIE FIED,2025-2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
MA,Massachusetts,error,None,Manual review needed,Requires Section 504,changed,,,,,Extraction failed.,,HTTPError('403 Client Error: Forbidden for url: https://www.mass.gov/doc/2025-2026-lihtc-qap/download'),2026-04-16T14:38:05.773261+00:00
MD,Maryland,manual_review,None,Manual review needed,Requires Section 504,changed,https://dhcd.maryland.gov/HousingDevelopment/Documents/QAP_MRFP/2025-QAP-Final-Draft-Clean.pdf,Maryland Qualified Allocation Plan For the Allocation of Federal Low Income Housing Tax Credits,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Keyword hit(s) detected but auto-classifier could not confidently place the state.,,,2026-04-16T14:38:05.773261+00:00
ME,Maine,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://www.mainehousing.org/docs/default-source/development/qap/2025-2026-qap.pdf?sfvrsn=a78d9e15_2,mainehousing.org | 207-626-4600 CHAPTER 16 LOW-INCOME HOUSING TAX CREDIT RULE Table of Contents,2025-2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
MI,Michigan,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://www.michigan.gov/mshda/-/media/Project/Websites/mshda/developers/lihtc/assets/liqap/mshda_li_qap_2024_2025_qap_final.pdf?rev=6810464ab00643eaa6ef8121132d7abe&hash=318584B4017958D2ECC04F8C48859960,Low‐Income Housing Tax Credit Program 2024‐2025 Qualified Allocation Plan www.michigan.gov/mshda,2024,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
MN,Minnesota,manual_review,None,Manual review needed,Incentives only,changed,https://mnhousing.gov/sites/default/files/documents/MHFA_285713_3.pdf,Page 1 2024-2025 QAP Public Comments July 2022,2024-2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Keyword hit(s) detected but auto-classifier could not confidently place the state.,,,2026-04-16T14:38:05.773261+00:00
MO,Missouri,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://mhdc.com/media/j3hj0emf/2026-qap_draft_clean-version.pdf,Qualified Allocation Plan DRAFT This plan was adopted and approved by the Missouri Housing Development,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
MS,Mississippi,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://www.novoco.com/public-media/documents/mississippi-lihtc-qap-final-2025-01072025.pdf,Table of Contents INTRODUCTION ..................................................................................................................................................... 4 MHC’s Responsibility ..............................................,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
MT,Montana,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://commerce.mt.gov/_shared/housing/Multifamily/docs/2026-QAP-20241125-Final-Approved.pdf,MONTANA BOARD OF HOUSING 2026 Qualified,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
NC,North Carolina,classified,Requires 504,Requires Section 504,Direct requirement below Section 504,strengthened,https://nchfa.com/sites/default/files/forms_resources/2025-12/2026FinalQAP.pdf,The 2026 Low-Income Housing Tax Credit Qualified Allocation Plan for the State of North Carolina I. INTRODUCTION.......................................................................................................................... 4,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
ND,North Dakota,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://www.ndhousing.nd.gov/sites/www/files/documents/Plans/2026LIHTCAllocationPlan.pdf,2026 ALLOCATION PLAN Low Income Housing Tax Credit Program Community Housing and Grants Management Division,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
NE,Nebraska,classified,Requires 504,Requires Section 504,Direct requirement below Section 504,strengthened,https://opportunity.nebraska.gov/wp-content/uploads/2025/05/LIHTC-2024-25-QAP.pdf,"2024-2025 Qualified Allocation Plan Approved by NIFA Board of Directors on April 21, 2023 Approved by Governor Pillen on May 10, 2023",2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
NH,New Hampshire,classified,None,Direct requirement below Section 504,Requires Section 504,weakened,https://www.nhhfa.org/wp-content/uploads/2024/04/2025-2026-Qualified-Allocation-Plan.pdf,"E F F E C T I V E DAT E : M A R C H 1 2 , 2 0 2 4 AMMENDED: DECEMBER 1, 2024 AMME NDE D : JUNE 17, 2 02 5",2024,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected explicit accessibility requirement below full Section 504 floor.,,,2026-04-16T14:38:05.773261+00:00
NJ,New Jersey,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://www.nj.gov/dca/hmfa/developers/docs/lihtc/qap/tc_qap_download.pdf,SUBCHAPTER 33. LOW-INCOME HOUSING TAX CREDIT QUALIFIED ALLOCATION PLAN 5:80-33.1 Introduction,2002,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
NM,New Mexico,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://housingnm.org/uploads/documents/FINAL_2025_QAP.pdf,STATE OF NEW MEXICO LOW-INCOME HOUSING TAX CREDIT PROGRAM QUALIFIED ALLOCATION PLAN,2024,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
NV,Nevada,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://housing.nv.gov/uploadedFiles/housingnewnvgov/Content/Programs/LIT/QAP/2026%20QAP%20clean%20final%2012.24.2025.pdf,State of Nevada Department of Business & Industry Housing Division Low-Income Housing Tax Credit Program,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
NY,New York,classified,Incentives only,Incentives only,Requires Section 504,weakened,https://hcr.ny.gov/system/files/documents/2025/06/rule-text-title-9-part-2040-9-dhcr-qap-effective-6-11-2025.pdf,"1 DIVISION OF HOUSING AND COMMUNITY RENEWAL 2 3 LOW-INCOME HOUSING CREDIT QUALIFIED ALLOCATION PLAN, TITLE 9 PART 2040",2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
OH,Ohio,classified,None,No direct QAP accessibility provision observed,Requires Section 504,weakened,https://ohiohome.org/ppd/documents/2026-2027-9Percent-LIHTC-QAP-Redline.pdf,9% LIHTC Qualified Allocation Plan Program Year 2026-2027,2026-2027,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Only general legal-compliance language detected.,,,2026-04-16T14:38:05.773261+00:00
OK,Oklahoma,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://www.novoco.com/public-media/documents/oklahoma-final-qap-2026-09242025.pdf,OKLAHOMA HOUSING FINANCE AGENCY Affordable Housing Tax Credits Program (AHTC) 2026 Application Instructions,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
OR,Oregon,classified,Exceeds 504,Exceeds Section 504,No direct QAP accessibility provision observed,strengthened,https://www.oregon.gov/ohcs/rental-housing/housing-development/development-resources/Documents/QAP/2025-qap-final.pdf,2025 Oregon QAP State of Oregon Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected 20% Type A/accessible requirement.,,,2026-04-16T14:38:05.773261+00:00
PA,Pennsylvania,classified,Exceeds 504,Exceeds Section 504,Incentives only,strengthened,https://www.phfa.org/forms/multifamily_news/news/2024/2025-2026-lihtc-qap.pdf,PENNSYLVANIA HOUSING FINANCE AGENCY (2025/2026 UNDERWRITING APPLICATION) PENNSYLVANIA HOUSING FINANCE AGENCY ALLOCATION PLAN FOR PROGRAM YEARS 2025/2026,2024-2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected 20% Type A/accessible requirement.,,,2026-04-16T14:38:05.773261+00:00
